#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
pure_metal                                        ([no block])                                                                     = Pure Metal
draconium                                         (jaopca:fluid_moltendraconium)                                                   = Molten Draconium
mithril                                           (jaopca:fluid_moltenmithril)                                                     = Molten Mithril
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
ec.internal.slurrycleanaluminium                  ([no block])                                                                     = Clean Aluminium Slurry
ec.internal.slurrycleanardite                     ([no block])                                                                     = Clean Ardite Slurry
ec.internal.slurrycleancobalt                     ([no block])                                                                     = Clean Cobalt Slurry
ec.internal.slurrycleandraconium                  ([no block])                                                                     = Clean Draconium Slurry
ec.internal.slurrycleaniridium                    ([no block])                                                                     = Clean Iridium Slurry
ec.internal.slurrycleanmithril                    ([no block])                                                                     = Clean Mithril Slurry
ec.internal.slurrycleannickel                     ([no block])                                                                     = Clean Nickel Slurry
ec.internal.slurrycleanplatinum                   ([no block])                                                                     = Clean Platinum Slurry
ec.internal.slurrycleanuranium                    ([no block])                                                                     = Clean Uranium Slurry
ec.internal.slurryaluminium                       ([no block])                                                                     = Aluminium Slurry
ec.internal.slurryardite                          ([no block])                                                                     = Ardite Slurry
ec.internal.slurrycobalt                          ([no block])                                                                     = Cobalt Slurry
ec.internal.slurrydraconium                       ([no block])                                                                     = Draconium Slurry
ec.internal.slurryiridium                         ([no block])                                                                     = Iridium Slurry
ec.internal.slurrymithril                         ([no block])                                                                     = Mithril Slurry
ec.internal.slurrynickel                          ([no block])                                                                     = Nickel Slurry
ec.internal.slurryplatinum                        ([no block])                                                                     = Platinum Slurry
ec.internal.slurryuranium                         ([no block])                                                                     = Uranium Slurry
